Papel;EV/EBIT;P/VP;Div.Yield;Liq.2meses
CFLU4;0,00;0,00;0;0,00
MNSA3;0,00;0,00;0;0,00
MNSA4;0,00;0,00;0;0,00
PORP4;0,00;0,00;0;0,00
PMET3;0,00;0,00;0;0,00
IVTT3;0,00;0,00;0;0,00
CLAN3;0,00;0,00;0;0,00
CSTB4;0,00;0,00;0;0,00
CSTB3;0,00;0,00;0;0,00
POPR4;0,00;0,00;0;0,00
GNDI3;91,13;5,84;0,0239;0,00
DOHL3;-11,86;0,71;0,0015;0,00
DOHL4;-7,72;0,43;0,0028;10257,10
POSI3;5,28;0,36;0,0678;3665620,00
ADMF3;-656,49;-1123,61;0;1665,09
PLDN4;-33,12;1,08;0;0,00
LCSA4;-506,56;-228,00;0;0,00
BHGR3;25,95;1,10;0;0,00
DMMO3;5,90;-1,72;0;0,00
ALPK3;4,89;2,26;0;595609,00
RJCP3;-523,96;0,65;0;0,00
ABYA3;33,67;1,76;0;0,00
PITI4;-2637,65;0,00;0;0,00
OPCT3;11,50;1,71;0;4575320,00
TUPY4;13,66;2,02;0;0,00
GOLL4;-794,05;-59,93;0;0,00
ENEV3;14,47;1,64;0;179108000,00
LCSA3;-180,95;-81,22;0;0,00
MAGG3;6,41;1,32;0;0,00
SQIA3;67,32;3,70;0;0,00
PETZ3;8,76;0,99;0,0798;19575300,00
LINX3;51,49;4,38;0,0152;0,00
BNCA3;0,00;2,45;0;0,00
AMIL3;138,61;7,70;0;0,00
EVEN3;8,37;0,76;0;4792330,00
UCAS3;-13,97;0,44;0,1476;59900,70
BRTP3;7,55;2,45;0;0,00
IDVL11;0,00;60,56;0;0,00
CRPG3;-13,84;0,74;0;461,86
FIEI3;-10,99;0,57;0;22542,70
CRPG6;-10,87;0,62;0;973,00
SCLO3;-46,28;-103,08;0;0,00
CRPG5;-10,52;0,60;0;99916,20
PEFX5;6,59;1,68;0;0,00
PEFX3;6,59;1,68;0;0,00
MTIG4;-95,57;-359,15;0;0,00
TOYB4;-9,15;-5,43;0;0,00
IMBI3;-104,72;2,81;0;0,00
CLAN4;-97,43;0,47;0;0,00
TOYB3;-8,39;-4,97;0;0,00
TUPY3;6,45;0,52;0,1228;9738400,00
EBTP3;8,46;1,17;0;0,00
MOAR3;-19,61;1,03;0,6693;40872,70
EBTP4;8,33;1,14;0;0,00
FBRA4;10,62;1,66;0;0,00
BRTP4;5,03;1,43;0;0,00
AURA33;8,49;16,86;0,011;34686200,00
ITEC3;-24,80;22,04;0;0,00
DTCY3;-32,66;44,66;0;171,86
HAPV3;15,64;0,34;0;152602000,00
APER3;15,41;2,02;0;0,00
IMBI4;-75,44;1,96;0;0,00
PRTX3;-128,99;-145,32;0;0,00
BAHI4;958,83;35,47;0;0,00
DFVA3;-58,28;60,69;0;0,00
ASTA4;33,20;1,00;0;0,00
MAPT4;-36,14;-0,57;0;311,61
VGOR4;34,09;7,18;0;0,00
CRBM3;-14,17;3,26;0;0,00
MSPA3;-41,29;0,36;0,0026;3747,67
DFVA4;-47,55;49,04;0;0,00
SCAR3;19,41;0,80;0,0824;739906,00
CLSA3;-10,92;3,06;0;0,00
BAHI5;728,57;26,81;0;0,00
MNDL3;7,65;1,25;0;19615,60
MODL3;0,00;1,88;0,0071;0,00
MAPT3;-26,86;-0,43;0;0,00
TAMM4;18,01;3,80;0;0,00
TAMM3;17,98;3,79;0;0,00
MSPA4;-37,84;0,31;0,0033;930,51
MODL11;0,00;1,72;0;0,00
MODL4;0,00;1,66;0;0,00
RPAD5;-294,59;0,67;0,0793;832,77
PCAR4;24,54;13,85;0;0,00
CRBM7;-9,02;2,18;0;0,00
BIOM3;-23,54;5,46;0;341600,00
WMBY3;25,02;2,87;0;0,00
AESB3;18,63;1,87;0;0,00
TDBH4;10,23;1,28;0;0,00
TANC4;16,20;3,10;0;0,00
PCAR5;22,96;12,89;0;0,00
BIOM4;-21,55;4,99;0;0,00
AURE3;19,84;0,91;0,0052;46809800,00
CCIM3;25,04;0,94;0;0,00
TDBH3;8,91;1,08;0;0,00
GBIO33;16,06;1,32;0;0,00
HBSA3;112,37;2,52;0;12529600,00
LECO4;-32,69;2,00;0;0,00
SEDU3;-28,68;15,00;0;0,00
TESA3;15,25;1,62;0;0,00
RPAD3;-160,15;0,42;0,0019;80,05
IGUA3;14,80;-1,44;0;0,00
FGUI3;-70,17;-2,15;0;0,00
